dumbSQ,smartSQ,dumbLIB,smartLIB
22,18,21.45,18.15
24,19,22.75,19.33
25,19,20.42,18.65
24,17,22.57,17.5
23,18,22.38,18.28
25,18,23.07,19.4
24,16,21.6,18.4
23,17,21.35,18.33
25,18,20.82,18.45
26,16,20.22,17.8
23,18,19.55,19.35
24,20,19.95,19.25
23,20,20.83,18.52
25,17,21.7,18.88
24,18,19.57,17.9
25,20,20,19.57
26,17,20.32,18.53
22,16,22.03,18.82
28,16,20.77,20.05
26,20,20.23,18.58
22,18,20.45,19.1
22,19,21.52,18.88
24,16,20.6,18.97
26,23,19.77,17.93
24,16,20.85,20.08
25,17,20.18,18.38
25,17,20.88,17.8
24,16,21.37,18.77
24,18,22.28,18.8
24,20,20.28,20.07
23,18,21.8,18.27
26,19,20.87,17.88
22,17,21.43,18.02
27,16,21.98,17.88
22,18,21.5,18.93
20,17,22.42,19.25
22,20,19.45,18.12
24,16,21.32,18.42
25,17,20.43,18.78
23,17,19.62,18.38
25,19,22.78,19.8
25,16,19.77,19.13
22,17,21.68,17.5
25,16,20.32,18.27
21,18,21.1,17.5
27,17,21.58,19.68
27,19,20.68,19.25
26,17,21.4,19.58
23,16,19.8,17.5
24,20,20.27,19.25
24,18,20.9,18.78
25,20,21.58,17.5
29,17,21.03,18.17
19,18,20.03,18.73
23,19,20.6,18.8
24,17,19.42,18.08
23,17,21.47,17.78
27,17,20.52,18.45
23,17,21.2,18.7
24,18,20.8,18.1
24,18,22.68,18.13
24,17,21.92,17.5
24,18,20.73,17.6
23,20,19.95,17.97
26,18,21.58,18.53
20,17,20.03,18.62
24,17,20.3,18.7
22,16,22.17,18.22
23,17,20.3,18.18
23,16,21.85,17.5
26,20,20,19.58
23,19,20.98,17.5
20,18,19.87,19.2
25,18,21.1,18.75
25,18,18.92,20.7
25,20,21.28,17.7
23,16,21.37,18.98
26,18,20.52,18.5
21,17,22.98,18.85
23,17,19.6,18.32
24,17,21.78,18.67
22,16,22.23,19.17
23,18,21.5,19.38
23,16,19.48,19.12
23,20,19.73,18.37
24,17,19.42,19.22
27,19,21.1,18.42
22,16,20,18.45
22,18,22.43,17.5
21,16,20.53,18.65
22,19,20.17,20.72
25,20,20.83,19.73
27,16,20.38,18.47
26,18,21.02,19.2
21,16,22.42,19.02
21,17,19.37,17.5
22,18,22.72,21.1
25,17,22.5,18.55
25,17,19.18,18.83
23,18,18.7,19.33
26,17,21.58,18.32
21,17,22.3,19.25
22,17,20.77,17.5
21,19,20.33,17.68
23,18,22.58,18.27
25,16,25.4,19.52
25,19,20.67,20.13
23,16,20.73,18.78
24,17,19.07,17.95
20,16,22.23,17.87
23,17,23.72,18.07
27,18,20.38,19.35
26,19,20.57,20.5
24,17,20.05,17.5
25,17,21,20.05
22,19,21.82,18.4
22,20,21.42,18.68
23,19,20.95,18.07
23,17,20.87,18.05
23,19,21.93,17.5
25,18,21.75,18.22
22,17,20.53,19.35
27,18,19.55,18.35
24,20,22.05,17.5
20,18,19.42,19.67
25,17,19.63,18.5
23,18,21.5,17.97
23,19,20.82,18.3
23,18,20.17,18.3
20,19,20.8,17.97
25,18,21.03,17.95
23,17,19.57,18.2
22,17,21.12,18.18
27,16,21.08,19.87
23,16,21,21.05
26,18,21.87,17.95
23,20,22.18,19.78
22,18,19,18.77
25,17,20.75,18.55
28,19,22.15,18.12
23,19,21.75,18.7
29,18,22.75,19.77
23,17,20.27,17.5
24,18,20.47,19.42
24,20,22.37,18.07
23,17,21.62,18.28
26,17,20.03,18.15
23,18,21.5,17.95
24,17,21.52,18.75
25,18,20.32,19.93
25,17,24.17,19.35
23,18,23.35,17.98
23,19,21.4,18.77
28,20,21.95,18.32
23,19,20.47,19.38
24,20,20.4,18.87
23,17,20.9,18.1
22,18,19.43,19.75
23,19,19.92,19.17
26,18,21,18.98
25,18,21.53,19.33
25,19,20.68,17.5
23,16,19.73,18.07
26,18,23.27,17.5
27,17,20.88,17.5
26,16,22.85,19.82
24,16,20.58,18.95
22,20,21.43,18.32
21,18,21.8,19.03
22,16,21.68,17.5
24,20,19.45,18.27
27,21,20.58,18.43
27,16,20,18.45
22,18,19.55,19.12
26,19,20.83,19.38
24,19,19.63,18.93
26,19,20.6,18.38
25,19,22.82,17.95
26,17,19.47,18.15
20,18,18.78,18.13
23,18,19.23,20.22
23,17,21.33,19.07
24,19,20.8,18.68
23,17,20.25,20.78
27,19,20.58,17.63
